sample_id,scenario_type,constraint_count,exact_phrase_candidates,all_token_candidates,bm25_cutoff_candidates,dense_nn_candidates,hybrid_candidates,oracle_only
public_0114,buying,3,1,704,34,104,44,True
public_0114,buying,4,1,618,40,187,48,True
public_0115,browsing,0,178,798,121,96,70,True
public_0115,browsing,1,39,97,95,93,63,True
public_0115,browsing,2,17,57,90,79,56,True
public_0115,browsing,3,10,28,92,120,56,True
public_0115,browsing,4,5,18,106,204,55,True
public_0116,buying,0,1031,9878,262,227,46,True
public_0116,buying,1,22,762,109,97,44,True
public_0116,buying,2,17,342,161,283,34,True
public_0116,buying,3,1,113,208,544,44,True
public_0116,buying,4,1,67,218,553,42,True
public_0117,buying,0,548,13893,161,677,46,True
public_0117,buying,1,8,4218,234,568,27,True
public_0117,buying,2,1,796,90,521,50,True
public_0117,buying,3,1,472,9,679,71,True
public_0117,buying,4,1,369,1,564,26,True
public_0118,buying,0,199,968,179,110,38,True
public_0118,buying,1,48,78,233,180,33,True
public_0118,buying,2,3,70,201,144,49,True
public_0118,buying,3,1,27,169,133,38,True
public_0118,buying,4,1,12,188,139,31,True
public_0119,buying,0,101,893,47,78,45,True
