fixture_id,memory_id,memory_text,label,component,coefficient,projected_energy,projected_energy_share
u3_distractor_s9_final,memory_e720f6f085766c182bf0013e35b20eb1a6518e875716d87d2094656e86b2e7a5,style: dressy,SAME_CATEGORY_HARD_NEGATIVE,8,0.062245967619280994,0.003874560484860578,0.030616533242726757
u3_distractor_s9_final,memory_14a5f960e539d759c2ad1507c497d7abc25169da178c9a6c1f20215b1cb094b6,pockets: lots,SAME_CATEGORY_HARD_NEGATIVE,1,-0.10740507604918118,0.011535850361130391,0.21947058473646955
u3_distractor_s9_final,memory_14a5f960e539d759c2ad1507c497d7abc25169da178c9a6c1f20215b1cb094b6,pockets: lots,SAME_CATEGORY_HARD_NEGATIVE,12,0.09408094818050222,0.008851224810542345,0.16839534355864536
u3_distractor_s9_final,memory_14a5f960e539d759c2ad1507c497d7abc25169da178c9a6c1f20215b1cb094b6,pockets: lots,SAME_CATEGORY_HARD_NEGATIVE,9,0.07872612636086287,0.0061978029717865485,0.11791375578888263
u3_distractor_s9_final,memory_14a5f960e539d759c2ad1507c497d7abc25169da178c9a6c1f20215b1cb094b6,pockets: lots,SAME_CATEGORY_HARD_NEGATIVE,2,0.06330880722521963,0.004008005072280021,0.0762526549238141
u3_distractor_s9_final,memory_14a5f960e539d759c2ad1507c497d7abc25169da178c9a6c1f20215b1cb094b6,pockets: lots,SAME_CATEGORY_HARD_NEGATIVE,11,-0.06328776460952214,0.004005341149270283,0.07620197355032732
u3_distractor_s9_final,memory_cbf0b3a88f8a66317a98692e948dacc8ffedefe382aa7027f8ea11cf17ec2d12,insulation: insulated,CROSS_DOMAIN_DISTRACTOR,16,0.07795418335540578,0.006076854702608225,0.2701685075584277
u3_distractor_s9_final,memory_cbf0b3a88f8a66317a98692e948dacc8ffedefe382aa7027f8ea11cf17ec2d12,insulation: insulated,CROSS_DOMAIN_DISTRACTOR,5,-0.06847474298366067,0.004688790426678386,0.20845710055997227
u3_distractor_s9_final,memory_cbf0b3a88f8a66317a98692e948dacc8ffedefe382aa7027f8ea11cf17ec2d12,insulation: insulated,CROSS_DOMAIN_DISTRACTOR,8,-0.05100948781935018,0.002601967847592434,0.11567987133168467
u3_distractor_s9_final,memory_cbf0b3a88f8a66317a98692e948dacc8ffedefe382aa7027f8ea11cf17ec2d12,insulation: insulated,CROSS_DOMAIN_DISTRACTOR,4,-0.050819768017945584,0.0025826488213978047,0.1148209742986118
u3_distractor_s9_final,memory_cbf0b3a88f8a66317a98692e948dacc8ffedefe382aa7027f8ea11cf17ec2d12,insulation: insulated,CROSS_DOMAIN_DISTRACTOR,6,0.048950069417411875,0.0023961092959694412,0.10652768646271742
